Water Year,Middle Number of Runnable Days,Lower Number of Runnable Days
1941,290,
1942,303,
1943,286,
1944,296,
1945,275,
1946,323,
1947,342,
1948,342,
1949,307,
1950,275,
1951,248,
1952,354,
1953,324,
1954,334,
1955,361,
1956,234,
1957,332,
1958,323,
1959,341,
1960,345,
1961,294,
1962,358,
1963,349,
1964,356,
1965,332,
1966,340,
1967,351,
1968,342,
1969,336,
1970,330,
1971,271,
1972,255,
1973,332,
1974,263,
1975,330,
1976,334,
1977,261,
1978,313,
1979,248,
1980,299,
1981,265,
1982,309,
1983,300,
1984,353,
1985,363,
1986,311,
1987,288,
1988,267,
1989,305,
1990,309,
1991,327,
1992,251,
1993,239,
1994,213,
1995,290,
1996,261,
1997,237,
1998,312,
1999,273,
2000,351,
2001,329,
2002,322,
2003,333,
2004,364,
2005,334,
2006,289,
2007,310,
2008,343,
2009,353,
2010,352,
2011,313,
2012,338,250
2013,359,329
2014,348,272
2015,336,339
2016,255,225
2017,261,236
2018,349,276
2019,362,350
