"","x"
"1",-4831795.6
"2",-4829193
"3",-4826590.4
"4",-4823987.8
"5",-4821385.2
"6",-4818782.6
"7",-4816179.9
"8",-4813577.3
"9",-4810974.7
"10",-4808372.1
"11",-4805769.5
"12",-4803166.9
"13",-4800564.3
"14",-4797961.7
"15",-4795359
"16",-4792756.4
"17",-4790153.8
"18",-4787551.2
"19",-4784948.6
"20",-4782346
"21",-4779743.4
"22",-4777140.8
"23",-4774538.1
"24",-4771935.5
"25",-4769332.9
"26",-4766730.3
"27",-4764127.7
"28",-4761525.1
"29",-4758922.5
"30",-4756319.9
"31",-4753717.2
"32",-4751114.6
